category,star_rating,helpfulness,gan_quality,text
Apparel,1,-0.736159921,1,"Headline: not worth the money Body: i bought these for my son and they were very nice. it was too small to wear, so he did not want to buy them."
Apparel,1,0.038147934,1,Headline: not worth the money Body: i bought these for my son and they were very nice. it was so small that he could wear them on his own.
Apparel,2,0.554371715,0,"Headline: not as advertised Body: i bought these for my daughter and they were very small. the size is too small, but it's not so large."
Apparel,2,-0.270754486,1,Headline: not as advertised Body: i bought these for my daughter and they were very comfortable. the material was so small that she could wear them on her own.
Apparel,3,0.545084119,1,"Headline: not as advertised Body: i bought these for my daughter and they are very comfortable. the dress is so small that she can't wear them in any way, but it's too big for me."
Apparel,3,-0.666754127,1,"Headline: not as advertised Body: i bought these for my daughter and they are very comfortable. the dress is so small that she can't wear them in any way, but it's just too small."
Apparel,4,0.525754392,1,"Headline: i love it! Body: this is a great fit for me. it's very comfortable and fits well, but not too tight."
Apparel,4,-0.012967595,1,"Headline: i love it! Body: this is a great fit for me. it's very comfortable and fits well, but not too tight."
Apparel,5,0.753006637,1,Headline: i love it! Body: this is a great fit for me. the dress is very comfortable and fits well.
Apparel,5,1.326593041,1,Headline: i love it! Body: this is a great fit for me. the dress is very comfortable and fits well.
Books,1,-0.279756755,1,Headline: not worth the money Body: i bought this book for my wife and she was very happy with it. her husband's books were so good that she had to buy one of them.
Books,1,-0.108775556,1,"Headline: disappointing Body: i bought this book because of the fact that it's not an easy read, but rather a good one. there is no way to tell you how to do it."
Books,2,-0.413287163,1,"Headline: not a good book Body: i've read many of the books, but this one isn't for anyone who wants to know how to do it. if you want to learn more about what you are looking for in your life, you have to be aware that"
Books,2,0.509518921,8.29E-08,"Headline: not a good book Body: i've read many of the books, but this one isn't for anyone who wants to know how to do it. if you want to learn more about what you are looking for in your life, you have to be aware that"
Books,3,0.56145376,0,"Headline: not a good book Body: this book is very interesting, but it's worth the money. however, there are many other books that have been written for years."
Books,3,0.7296893,0,"Headline: not a good book Body: this book is very interesting, but it's worth the money. however, there are many other books that have been written for years."
