category,star_rating,helpfulness,gan_quality,text
Apparel,1,-0.6558,1.0,"Headline: not worth it Body: the socks are good enough, the material is not great, the material is great, the fabric is too tight. the material is a bit too small and i'm a size 8 and i'm a size 13 and will not fit in."
Apparel,3,-0.0507,1.0,Headline: very good for me Body: i ordered the xl in a size i was expecting. the material was small and fit just right. the fabric is very rough and the fabric is very tight and the sizing is very nice. the sizing is too short for me.
Apparel,5,1.5343,0.9122,"Headline: so a little big Body: i bought this dress in a small, but it is definitely a great dress for the price. it looks like it's a very nice piece of clothing and is very nice."
Books,1,0.2651,1.0,"Headline: not a good book Body: i am not a good a samantha man who does not understand the author's words. i was not a samantha man who is not a samantha man who's a samantha man, but i was not as sure of what i'd been looking for"
Books,3,0.6467,0.0,"Headline: a great book for beginners Body: i just found this book to be a great book for beginners. i am very pleased with the book, but this one is more than a guidebook. i really liked the book and it is a great book. i would have read it as a"
Books,5,-0.7063,1.0,"Headline: i am an emophile, a naomo, a lutron, a naomo, a naomo, a sabo, a naomo, a sabo a nas, a sabomo, a na embol, a naomo, a nao"
Camera,1,0.6526,1.0,Headline: poor quality Body: i was very disappointed with this camera. i have not received this camera since it was a small and i am not happy with it.
Camera,3,0.8531,1.0,"Headline: ok, but a lot of work is not good, but Body: i have had this camera for years. i am currently using it for my photography. this camera has a few more problems with the dslr g4 g4 lenses. this is a little bit less a problem than the dslr g4 g5"
Camera,5,0.4911,1.0,Headline: great for the price Body: i purchased this camera and i'm very pleased with it. it is very convenient to use. it's easy to get to the camera and the price is just as low as expected. it has a lot of room for the camera to have a t
Digital_Video_Games,1,1.3033,1.0,Headline: it was a little crowded Body: i bought this game a lot of times. i was very disappointed. i didn't even know if it was a bit too big to play and i could not download it.
